2025-04-13 21:55:54,956 - INFO - Epoch 1, Batch 117: Loss = 1.6764, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,013 - INFO - Epoch 1, Batch 118: Loss = 0.9402, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,066 - INFO - Epoch 1, Batch 119: Loss = 1.0151, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,118 - INFO - Epoch 1, Batch 120: Loss = 2.5887, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,176 - INFO - Epoch 1, Batch 121: Loss = 4.2692, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,232 - INFO - Epoch 1, Batch 122: Loss = 1.8124, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,286 - INFO - Epoch 1, Batch 123: Loss = 1.6198, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,342 - INFO - Epoch 1, Batch 124: Loss = 1.4805, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:55,395 - INFO - Epoch 1, Batch 125: Loss = 1.9179, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,449 - INFO - Epoch 1, Batch 126: Loss = 1.3935, Accuracy = 100.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,504 - INFO - Epoch 1, Batch 127: Loss = 1.3499, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,560 - INFO - Epoch 1, Batch 128: Loss = 0.7236, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
2025-04-13 21:55:55,613 - INFO - Epoch 1, Batch 129: Loss = 1.8402, Accuracy = 0.00%, Precision = 0.0000, Recall = 0.0000
2025-04-13 21:55:55,669 - INFO - Epoch 1, Batch 130: Loss = 0.4346, Accuracy = 100.00%, Precision = 1.0000, Recall = 1.0000
